nombre_evento,url_evento,codigo_postal,fecha_inicio,fecha_fin,latitud,longitud,direccion,horario,organizacion,id_ciudad,id_evento
Tertulias en francés,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f7fc27a924b41910VgnVCM2000001f4a900aRCRD,28004,2024-09-24 19:00:00.0,2025-06-10 23:59:00.0,40.426642215368176,-3.699722994908341,CALLE BARCELO 4,19:00,"{'organization-name': 'Biblioteca Pública Municipal Mario Vargas Llosa (Centro)', 'accesibility': '1,6'}",1,837
Tertulias en Inglés,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=73e6dc1e00af4910VgnVCM2000001f4a900aRCRD,28031,2025-01-13 19:00:00.0,2025-05-26 23:59:00.0,40.37790196240434,-3.6227296605039516,CALLE MONTE AYA 12,19:00,"{'organization-name': 'Biblioteca Pública Municipal Gerardo Diego (Villa de Vallecas)', 'accesibility': '1,6'}",1,838
Tertulias en Inglés,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fa7248a5e0d84910VgnVCM1000001d4a900aRCRD,28019,2025-01-23 19:00:00.0,2025-05-29 23:59:00.0,40.39786734087938,-3.720088245008897,CALLE ISAAC ALBENIZ 1,19:00,"{'organization-name': 'Biblioteca Pública Municipal Ana María Matute (Carabanchel)', 'accesibility': '1,6'}",1,839
Tertulias en Inglés,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ae6016630a815910VgnVCM2000001f4a900aRCRD,28038,2025-02-04 11:00:00.0,2025-06-17 23:59:00.0,40.393189968014696,-3.6554147649183943,CALLE CANTALAPIEDRA 11,11:00,"{'organization-name': 'Biblioteca Pública Municipal Portazgo (Puente de Vallecas)', 'accesibility': '1,6'}",1,840
Tertulias en Inglés,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1ad33527bea41910VgnVCM1000001d4a900aRCRD,28041,2024-10-02 19:00:00.0,2025-06-18 23:59:00.0,40.3711623444796,-3.692742821990015,AVENIDA SAN FERMIN 10,19:00,"{'organization-name': 'Biblioteca Pública Municipal San Fermín (Usera)', 'accesibility': '1,5,6'}",1,841
Tertulias en Inglés,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ed0f5ab3b2f64910VgnVCM1000001d4a900aRCRD,28030,2025-01-17 18:30:00.0,2025-05-30 23:59:00.0,40.40971737692924,-3.6529822109115133,CALLE ARROYO BELINCOSO 11,18:30,"{'organization-name': 'Biblioteca Pública Municipal Miguel Delibes (Moratalaz)', 'accesibility': '1,6'}",1,842
Tertulias en Inglés (infantil),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eec46c112bc41910VgnVCM2000001f4a900aRCRD,28053,2024-09-25 18:00:00.0,2025-06-11 23:59:00.0,40.395023959810636,-3.665554302127492,CALLE PUERTO DEL MONASTERIO 1,18:00,"{'organization-name': 'Biblioteca Pública Municipal Vallecas (Puente de Vallecas)', 'accesibility': '1,6'}",1,843
Testamentos y herencias. Espacio notarial [Espacios de Igualdad],http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cf2c73a38c943910VgnVCM1000001d4a900aRCRD,28007,2025-03-25 17:00:00.0,2025-03-25 23:59:00.0,40.40254931370529,-3.668092320219012,CALLE ARREGUI Y ARUEJ 31,17:00,"{'organization-name': 'Espacio de Igualdad Elena Arnedo Soriano. Retiro', 'accesibility': '1'}",1,844
The diary of a teenage girl,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ad8feb1eb9305910VgnVCM1000001d4a900aRCRD,28045,2025-03-30 00:00:00.0,2025-03-30 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}",1,845
The Gipsy Marionettist - Rašid Nikolić (Italia),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=178dd6fdb90d4910VgnVCM2000001f4a900aRCRD,28009,2025-04-26 00:00:00.0,2025-04-27 23:59:00.0,40.41878362561595,-3.6866519471003647,AVENIDA MÉXICO 4,,"{'organization-name': 'Teatro Municipal de Títeres. Parque de El Retiro', 'accesibility': '1'}",1,846
The Pickles,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=18f1c08889415910VgnVCM2000001f4a900aRCRD,28037,2025-03-15 19:00:00.0,2025-03-15 23:59:00.0,40.420280457570335,-3.621730741880216,CALLE SAN ROMAN DEL VALLE 8,19:00,"{'organization-name': 'Centro Cultural Antonio Machado (San Blas - Canillejas)', 'accesibility': '1'}",1,847
Tierra baja,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f6a080313315910VgnVCM2000001f4a900aRCRD,28045,2025-03-15 20:30:00.0,2025-03-15 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,20:30,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}",1,848
Tierra baja,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e669c4490405910VgnVCM1000001d4a900aRCRD,28045,2025-03-14 18:00:00.0,2025-03-14 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,18:00,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}",1,849
"Top Secret: aventuras, sueños y mentiras",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b7901387ac444910VgnVCM2000001f4a900aRCRD,28045,2025-03-16 00:00:00.0,2025-03-16 23:59:00.0,40.39245798191536,-3.6972067902718897,PASEO CHOPERA 14,,"{'organization-name': 'Casa del Lector', 'accesibility': '3'}",1,850
"Top Secret: aventuras, sueños y mentiras",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f701387ac444910VgnVCM2000001f4a900aRCRD,28045,2025-02-23 00:00:00.0,2025-02-23 23:59:00.0,40.39245798191536,-3.6972067902718897,PASEO CHOPERA 14,,"{'organization-name': 'Casa del Lector', 'accesibility': '3'}",1,851
"Top Secret: aventuras, sueños y mentiras",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9afd87330c444910VgnVCM1000001d4a900aRCRD,28045,2025-01-26 00:00:00.0,2025-03-16 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}",1,852
Trampa para un hombre solo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=25b03bbfeae15910VgnVCM2000001f4a900aRCRD,28039,2025-03-07 19:00:00.0,2025-03-07 23:59:00.0,40.44864332758775,-3.704513191828797,CALLE ALMANSA 9,19:00,"{'organization-name': 'Centro Sociocultural José de Espronceda (Tetuán)', 'accesibility': '1'}",1,853
Transformación de caja de zapatos,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cb2b2c84ecd15910VgnVCM2000001f4a900aRCRD,28022,2025-03-21 17:00:00.0,2025-03-21 23:59:00.0,40.44844757572015,-3.598099871155595,AVENIDA SEPTIMA 11,17:00,"{'organization-name': 'Centro Cultural Ciudad Pegaso (San Blas - Canillejas)', 'accesibility': '1'}",1,854
Tributo a Luis Mateo Díez,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=0f9177dee57a4910VgnVCM1000001d4a900aRCRD,28009,2025-03-29 11:00:00.0,2025-03-29 23:59:00.0,40.41906571939961,-3.684053112760816,PASEO COLOMBIA 1,11:00,"{'organization-name': 'Centro Cultural Casa de Vacas (Retiro)', 'accesibility': '1'}",1,855
Trópico sin tópico: Amazonas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=517b08502f864910VgnVCM1000001d4a900aRCRD,28014,2025-02-13 00:00:00.0,2025-06-22 23:59:00.0,40.41902261618159,-3.692188193693138,PLAZA CIBELES 1,,"{'organization-name': 'CentroCentro', 'accesibility': '1'}",1,856
Tu salud ¡en el móvil! Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ac01f7cdf1ef4910VgnVCM2000001f4a900aRCRD,28024,2025-03-31 10:00:00.0,2025-04-02 23:59:00.0,40.397074625115906,-3.7664885474841556,CALLE GRANJA DE TORREHERMOSA 1,10:00,"{'organization-name': 'Biblioteca Pública Municipal Ángel González (Latina)', 'accesibility': '1,6'}",1,857
Tu salud ¡en el móvil! Madrid Aula Digital,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2cd88238b9e12910VgnVCM1000001d4a900aRCRD,28017,2025-03-20 10:00:00.0,2025-03-21 23:59:00.0,40.42941133441142,-3.6416899839787695,CALLE ASCAO 4,10:00,"{'organization-name': 'Biblioteca Pública Municipal Pablo Neruda (Ciudad Lineal)', 'accesibility': '1,6'}",1,858
"Tú, yo y el mundo. La Colmena",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=7f6402a2fa0e1910VgnVCM1000001d4a900aRCRD,28015,2024-10-08 00:00:00.0,2025-05-27 23:59:00.0,40.42739911262292,-3.710589286287491,CALLE CONDE DUQUE 9,,"{'organization-name': 'Centro de Cultura Contemporánea Conde Duque', 'accesibility': '1'}",1,859
Ullate. La danza de la vida,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a88ee2901efc4910VgnVCM1000001d4a900aRCRD,28045,2025-02-27 20:00:00.0,2025-02-27 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,20:00,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}",1,860
Un baño propio,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=2acfc109a5305910VgnVCM1000001d4a900aRCRD,28045,2025-03-07 00:00:00.0,2025-03-09 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}",1,861
Un barrio más limpio cabe en esta bolsa,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=37dbfeda9e093910VgnVCM1000001d4a900aRCRD,,2025-02-18 11:00:00.0,2025-02-25 23:59:00.0,,,,11:00,,1,862
Un hombre de verdad,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8a1db96cdd4f4910VgnVCM1000001d4a900aRCRD,28045,2025-02-26 20:00:00.0,2025-02-26 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,20:00,"{'organization-name': 'Cineteca Madrid', 'accesibility': '1'}",1,863
Un hombre sin miedo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=8207318cb1405910VgnVCM2000001f4a900aRCRD,28053,2025-02-27 18:00:00.0,2025-02-27 23:59:00.0,40.37381624358889,-3.6599325731670977,AVENIDA GLORIETAS 19,18:00,"{'organization-name': 'Centro Cultural El Pozo del tío Raimundo (Puente de Vallecas)', 'accesibility': '1'}",1,864
Un paseo por el folclore de España,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=91e33d9181f54910VgnVCM1000001d4a900aRCRD,28037,2025-02-23 19:00:00.0,2025-02-23 23:59:00.0,40.420280457570335,-3.621730741880216,CALLE SAN ROMAN DEL VALLE 8,19:00,"{'organization-name': 'Centro Cultural Antonio Machado (San Blas - Canillejas)', 'accesibility': '1'}",1,865
Un paseo por el mar - Los Gorriones (Madrid),http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=a9c44d9651884910VgnVCM2000001f4a900aRCRD,28009,2025-03-29 12:30:00.0,2025-03-30 23:59:00.0,40.41878362561595,-3.6866519471003647,AVENIDA MÉXICO 4,12:30,"{'organization-name': 'Teatro Municipal de Títeres. Parque de El Retiro', 'accesibility': '1'}",1,866
"Una de Heroínas, Magos y Piratas",http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=1b8966c5a1915910VgnVCM2000001f4a900aRCRD,,2025-03-23 18:00:00.0,2025-03-23 23:59:00.0,,,,18:00,,1,867
Una de ratones,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cdaf2816df225910VgnVCM2000001f4a900aRCRD,28020,2025-03-21 18:00:00.0,2025-03-21 23:59:00.0,40.45907909580629,-3.7002532146213043,CALLE BRAVO MURILLO 251,18:00,"{'organization-name': 'Centro Sociocultural Tetuán', 'accesibility': '1'}",1,868
Una historia de cuento,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=27c1542e85d15910VgnVCM1000001d4a900aRCRD,28022,2025-03-16 12:00:00.0,2025-03-16 23:59:00.0,40.4366557020283,-3.6113517282299217,CALLE ALIAGA 5,12:00,"{'organization-name': 'Centro Sociocultural Miguel de Cervantes (San Blas - Canillejas)', 'accesibility': '1'}",1,869
Una mirada a través del tiempo,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=b2c423122abc4910VgnVCM1000001d4a900aRCRD,28022,2025-02-03 00:00:00.0,2025-03-28 23:59:00.0,40.433291625973624,-3.6105662311927453,CALLE MARIA SEVILLA DIAGO 15,,"{'organization-name': 'Biblioteca Pública Municipal José Hierro (San Blas-Canillejas)', 'accesibility': '1,6'}",1,870
Universo criaturas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ecf0bc00c8fd4910VgnVCM1000001d4a900aRCRD,28045,2025-03-07 00:00:00.0,2025-03-16 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}",1,871
Uso de tecnología digital y lectura en la adolescencia,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f859faa132464910VgnVCM1000001d4a900aRCRD,28036,2025-02-24 17:30:00.0,2025-02-24 23:59:00.0,40.467453379213175,-3.6846112774442705,CALLE MANUEL FERRERO 1,17:30,"{'organization-name': 'Biblioteca Pública Municipal Dámaso Alonso (Chamartín)', 'accesibility': '1,6'}",1,872
UVNT ART FAIR 2025,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ff72c02a29964910VgnVCM1000001d4a900aRCRD,28045,2025-03-07 00:00:00.0,2025-03-09 23:59:00.0,40.39130985242181,-3.6958028442054074,PLAZA LEGAZPI 8,,"{'organization-name': 'Matadero Madrid', 'accesibility': '1'}",1,873
Valerosas,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=282664926f415910VgnVCM1000001d4a900aRCRD,,2025-03-02 12:00:00.0,2025-03-02 23:59:00.0,,,,12:00,,1,874
Vamos a contar mentiras,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=70027fba36825910VgnVCM2000001f4a900aRCRD,28023,2025-03-30 19:00:00.0,2025-03-30 23:59:00.0,40.45867841791346,-3.7863499043313373,TRAVESIA CA&amp;Ntilde;O 5,19:00,"{'organization-name': 'Centro Cultural Juan Genovés (Moncloa - Aravaca)', 'accesibility': '1'}",1,875
Vecinos invasores,http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=585ceb1eb9305910VgnVCM1000001d4a900aRCRD,28050,2025-03-25 18:00:00.0,2025-03-25 23:59:00.0,40.49041562546542,-3.655356751728003,CALLE PRINCESA DE EBOLI 29,18:00,"{'organization-name': 'Biblioteca Pública Municipal María Lejárraga (Hortaleza)', 'accesibility': '1,6'}",1,876
